incident_num,date,officer,desc_clean,offenses_clean,address_clean
13-00001(0),2013-01-01T04:47:00Z,"FONSECA, D E",ASSIST OTHER AGENCY,ASSIST OTHER AGENCY,"7100 BLK N NEW BRAUNFELS SAN ANTONIO, TX 78209"
13-00002(0),2013-01-01T06:15:00Z,"NUGENT, J A",SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,"5445 N NEW BRAUNFELS AVE B ALAMO HEIGHTS, TX 78209"
13-00003(0),2013-01-01T07:19:00Z,"KEY, L H",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"138 CLEVELAND CT ALAMO HEIGHTS, TX 78209"
13-00004(0),2013-01-01T12:12:00Z,"KEY, L H","ACCIDENT, MOTOR VEHICLE","ACCIDENT, MOTOR VEHICLE  ","146 HARRIGAN CT ALAMO HEIGHTS, TX 78209"
13-00005(0),2013-01-01T16:14:00Z,"ORR, S",POSS MARIJUANA < 2OZ,POSS MARIJUANA < 2OZ,"50 BLK ALAMO HEIGHTS BLVD ALAMO HEIGHTS, TX 78209"
13-00006(0),2013-01-02T08:57:00Z,"CERDA, E J",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"6400 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
13-00007(0),2013-01-02T09:42:00Z,"CERDA, E J",VIOLATION OF PROTECTIVE ORDER OR MAGISTRATE'S ORDER,VIOLATION OF PROTECTIVE ORDER OR MAGISTRATE'S ORDER,"100 BLK AUSTIN HWY ALAMO HEIGHTS, TX 78209"
13-00008(0),2013-01-02T12:39:00Z,"CARNEY, M I",BURGLARY,BURGLARY,"7311 BROADWAY ALAMO HEIGHTS, TX 78209"
13-00010(0),2013-01-02T14:24:00Z,"LUEVANO, H A",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"6603 BROADWAY ALAMO HEIGHTS, TX 78209"
13-00009(0),2013-01-02T14:42:00Z,"ORR, S",POSSESSION OR DELIVERY OF DRUG PARAPHERNALIA,POSSESSION OF ALCOHOL BY A MINOR  POSSESSION OR DELIVERY OF DRUG PARAPHERNALIA,"500 BLK AUSTIN HWY ALAMO HEIGHTS, TX 78209"
13-00011(0),2013-01-02T15:43:00Z,"ORR, S",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"800 BLK ESTES AVE ALAMO HEIGHTS, TX 78209"
13-00012(0),2013-01-02T22:16:00Z,"FONSECA, D E",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"100 BLK JONES MALTSBERGER RD ALAMO HEIGHTS, TX 78209"
13-00013(0),2013-01-02T22:24:00Z,"GORE, E E",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"200 BLK W CASTANO AVE ALAMO HEIGHTS, TX 78209"
13-00014(0),2013-01-03T10:24:00Z,"CARNEY, M I",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"200 BLK AUSTIN HWY ALAMO HEIGHTS, TX 78209"
13-00015(0),2013-01-03T11:28:00Z,"LOPEZ, C D","CRIMINAL MISCHIEF >=$500<$1,500","CRIMINAL MISCHIEF >=$500<$1,500","430 ELLWOOD AVE ALAMO HEIGHTS, TX 78209"
13-00016(0),2013-01-03T16:39:00Z,"LUEVANO, H A",THEFT >= $50 < $500,THEFT >= $50 < $500,"5148 BROADWAY ALAMO HEIGHTS, TX 78209"
13-00017(0),2013-01-03T16:41:00Z,"GARRISON, J B","COV - SOLICITING ON PRIVATE PROPERTY, UNINVITED","COV - SOLICITING ON PRIVATE PROPERTY, UNINVITED","108 ROSEMARY AVE ALAMO HEIGHTS, TX 78209"
13-00019(0),2013-01-03T17:02:00Z,"GARRISON, J B","COV - SOLICITING ON PRIVATE PROPERTY, UNINVITED","COV - SOLICITING ON PRIVATE PROPERTY, UNINVITED","124 ENCINO AVE ALAMO HEIGHTS, TX 78209"
13-00018(0),2013-01-03T17:08:00Z,"LUEVANO, H A","COV - SOLICITING ON PRIVATE PROPERTY, UNINVITED","COV - SOLICITING ON PRIVATE PROPERTY, UNINVITED","126 W ELMVIEW PL ALAMO HEIGHTS, TX 78209"
13-00020(0),2013-01-04T09:45:00Z,"CARNEY, M I",COV - OPERATING ALARM SYSTEM W/O PERMIT,COV - OPERATING ALARM SYSTEM W/O PERMIT ,"4902 BROADWAY ALAMO HEIGHTS, TX 78209"
13-00021(0),2013-01-04T10:46:00Z,"KEY, L H",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"5400 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
13-00022(0),2013-01-04T12:47:00Z,"MARZEC, A R",COV - ANIMAL NUISANCE - DOG FREE OF RESTRAINT,COV - ANIMAL NUISANCE - DOG FREE OF RESTRAINT,"6116 BROADWAY ALAMO HEIGHTS, TX 78209"
13-00023(0),2013-01-04T16:27:00Z,"GARRISON, J B",FORGERY,FORGERY,"268 E EDGEWOOD PL ALAMO HEIGHTS, TX 78209"
13-00024(0),2013-01-04T16:55:00Z,"DELEON, M L",WARRANT ARREST - OUT OF JURISDICTION,WARRANT ARREST - OUT OF JURISDICTION,"100 BLK AUSTIN HWY ALAMO HEIGHTS, TX 78209"
13-00025(0),2013-01-05T07:31:00Z,"CARNEY, M I",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"5800 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
13-00026(0),2013-01-05T12:27:00Z,"NUGENT, J A",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"506 AUSTIN HWY ALAMO HEIGHTS, TX 78209"
13-00028(0),2013-01-05T17:02:00Z,"ORR, S",POSSESSION OR DELIVERY OF DRUG PARAPHERNALIA,WARRANT ARREST - OUT OF JURISDICTION POSSESSION OR DELIVERY OF DRUG PARAPHERNALIA,"200 BLK BLUE BONNET BLVD ALAMO HEIGHTS, TX 78209"
13-00029(0),2013-01-05T22:41:00Z,"TORRES, C R",EMERGENCY DETENTION,EMERGENCY DETENTION,"210 HALCYON PL ALAMO HEIGHTS, TX 78209"
13-00030(0),2013-01-06T08:59:00Z,"CARNEY, M I",SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,"500 BLK AUSTIN HWY ALAMO HEIGHTS, TX 78209"
13-00031(0),2013-01-06T20:13:00Z,"ORR, S",ASSIST OTHER AGENCY,ASSIST OTHER AGENCY,"6116 BROADWAY ALAMO HEIGHTS, TX 78209"
13-00032(0),2013-01-06T22:47:00Z,"TORRES, C R",POSSESSION OR DELIVERY OF DRUG PARAPHERNALIA,POSSESSION OR DELIVERY OF DRUG PARAPHERNALIA,"6100 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
13-00033(0),2013-01-06T23:25:00Z,"CALLENDER, C J",SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,"170 HARRIGAN CT ALAMO HEIGHTS, TX 78209"
13-00034(0),2013-01-07T01:15:00Z,"TORRES, C R",DRIVING WHILE INTOXICATED MB,POSS MARIJUANA < 2OZ  DRIVING WHILE INTOXICATED MB,"6900 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
13-00035(0),2013-01-07T11:22:00Z,"LOPEZ, C D",ILLEGAL DUMPING,ILLEGAL DUMPING,"200 BLK ACACIA ST ALAMO HEIGHTS, TX 78209"
13-00036(0),2013-01-07T17:55:00Z,"DELEON, M L",WARRANT ARREST - OUT OF JURISDICTION,WARRANT ARREST - OUT OF JURISDICTION,"6900 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
13-00037(0),2013-01-07T23:00:00Z,"CALLENDER, C J",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"4500 BLK N NEW BRAUNFELS AVE ALAMO HEIGHTS, TX 78209"
13-00038(0),2013-01-08T11:04:00Z,"CERDA, E J",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"100 BLK HARRIGAN CT ALAMO HEIGHTS, TX 78209"
13-00039(0),2013-01-08T11:51:00Z,"MARZEC, A R",ANIMAL COMPLAINT,ANIMAL COMPLAINT  ,"6116 BROADWAY ALAMO HEIGHTS, TX 78209"
13-00040(0),2013-01-08T12:42:00Z,"KEY, L H",COV - ANIMAL NUISANCE - LOUD & OBNOXIOUS NOISE,COV - ANIMAL NUISANCE - LOUD & OBNOXIOUS NOISE,"123 CLAYWELL DR ALAMO HEIGHTS, TX 78209"
13-00041(0),2013-01-08T13:02:00Z,"NUGENT, J A",THEFT >= $500 < $1500,THEFT >= $500 < $1500,"4821 BROADWAY ALAMO HEIGHTS, TX 78209"
13-00042(0),2013-01-08T20:34:00Z,"DELEON, M L",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"842 ESTES AVE ALAMO HEIGHTS, TX 78209"
13-00043(0),2013-01-09T07:38:00Z,"CERDA, E J",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"101 ARCADIA PL ALAMO HEIGHTS, TX 78209"
13-00044(0),2013-01-09T09:21:00Z,"KEY, L H",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"4821 BROADWAY ALAMO HEIGHTS, TX 78209"
13-00045(0),2013-01-09T11:30:00Z,"CERDA, E J",FAIL TO COMPLY WITH SEX OFFENDER REGISTRATION REQUIREMENTS,FAIL TO COMPLY WITH SEX OFFENDER REGISTRATION REQUIREMENTS,"4900 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
13-00046(0),2013-01-09T13:00:00Z,"NUGENT, J A",DISTURBANCE,DISTURBANCE,"4901 BROADWAY 170 ALAMO HEIGHTS, TX 78209"
13-00047(0),2013-01-09T13:20:00Z,"CARNEY, M I",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"100 W CASTANO AVE ALAMO HEIGHTS, TX 78209"
13-00048(0),2013-01-09T15:54:00Z,"DELEON, M L",SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,"366 BLUE BONNET BLVD ALAMO HEIGHTS, TX 78209"
13-00049(0),2013-01-09T16:06:00Z,"DELEON, M L",SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,"178 E EDGEWOOD PL ALAMO HEIGHTS, TX 78209"
13-00050(0),2013-01-09T16:17:00Z,"FITCHETT, E",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"168 BARILLA PL 201 ALAMO HEIGHTS, TX 78209"
13-00051(0),2013-01-10T00:07:00Z,"MOSMAN, J D",THEFT >= $50 < $500,THEFT >= $50 < $500,"330 ALBANY AVE ALAMO HEIGHTS, TX 78209"
13-00053(0),2013-01-10T14:37:00Z,"DELEON, M L",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"5900 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
13-00054(0),2013-01-10T16:12:00Z,"MARZEC, A R",COV - ANIMAL NUISANCE - DOG FREE OF RESTRAINT,COV - ANIMAL NUISANCE - DOG FREE OF RESTRAINT,"200 PATTERSON AVE ALAMO HEIGHTS, TX 78209"
13-00055(0),2013-01-10T17:42:00Z,"FITCHETT, E",ANIMAL IMPOUND (NON-COV),ANIMAL IMPOUND (NON-COV),"152 TERRELL RD 1 ALAMO HEIGHTS, TX 78209"
13-00056(0),2013-01-10T20:13:00Z,"FITCHETT, E",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"4720 BROADWAY ALAMO HEIGHTS, TX 78209"
13-00057(0),2013-01-10T23:59:00Z,"MOSMAN, J D",COV - OPERATING ALARM SYSTEM W/O PERMIT,COV - OPERATING ALARM SYSTEM W/O PERMIT ,"312 ALTA AVE ALAMO HEIGHTS, TX 78209"
13-00058(0),2013-01-11T10:26:00Z,"LOPEZ, C D",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"4700 BLK N NEW BRAUNFELS AVE ALAMO HEIGHTS, TX 78209"
13-00059(0),2013-01-11T12:11:00Z,"KEY, L H",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"5120 BROADWAY ALAMO HEIGHTS, TX 78209"
13-00061(0),2013-01-11T15:48:00Z,"DELEON, M L",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"4707 BROADWAY 1303 ALAMO HEIGHTS, TX 78209"
13-00062(0),2013-01-11T16:02:00Z,"FITCHETT, E",DISTURBANCE,DISTURBANCE,"6100 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
13-00063(0),2013-01-11T17:24:00Z,"FITCHETT, E",POSSESSION OR DELIVERY OF DRUG PARAPHERNALIA,POSSESSION OR DELIVERY OF DRUG PARAPHERNALIA,"700 BLK TUXEDO AVE ALAMO HEIGHTS, TX 78209"
13-00064(0),2013-01-11T17:29:00Z,"DELEON, M L",ANIMAL BITE / SCRATCH CASE,ANIMAL BITE / SCRATCH CASE  COV - ANIMAL NUISANCE - ATTACK OTHER ANIMALS,"500 BLK W CASTANO AVE ALAMO HEIGHTS, TX 78209"
