incident_num,date,officer,desc_clean,offenses_clean,address_clean
16-00001(0),2016-01-01T01:21:00Z,"ORR, S",EMERGENCY DETENTION,EMERGENCY DETENTION,"215 W FAIR OAKS PL ALAMO HEIGHTS, TX 78209"
16-00002(0),2016-01-01T15:07:00Z,"DELEON, M L",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"185 TERRELL RD 604 ALAMO HEIGHTS, TX 78209"
16-00003(0),2016-01-02T09:17:00Z,"TORRES, J M",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"5401 BROADWAY ALAMO HEIGHTS, TX 78209"
16-00004(0),2016-01-02T15:07:00Z,"DELEON, M L",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"235 INSLEE AVE ALAMO HEIGHTS, TX 78209"
16-00006(0),2016-01-02T20:38:00Z,"MOSMAN, J D",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"5600 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
16-00007(0),2016-01-03T08:27:00Z,"DUCOTE, L A",COV- DISTURBING CONTENTS OF CONTAINERS,COV- DISTURBING CONTENTS OF CONTAINERS,"4500 BLK N NEW BRAUNFELS AVE ALAMO HEIGHTS, TX 78209"
16-00008(0),2016-01-03T09:17:00Z,"LUEVANO, H A",SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,"100 BLK HARRIGAN CT ALAMO HEIGHTS, TX 78209"
16-00009(0),2016-01-03T12:45:00Z,"LUEVANO, H A",BURGLARY,BURGLARY,"149 CLOVERLEAF AVE ALAMO HEIGHTS, TX 78209"
16-00010(0),2016-01-03T17:03:00Z,"GARRISON, J B",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"5400 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
16-00011(0),2016-01-03T22:52:00Z,"ESCORZA, V",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"7300 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
16-00012(0),2016-01-04T01:01:00Z,"LOPEZ, C D",INJURY TO AN ELDERLY PERSON W/INTBODILY INJURY TO A,ASSAULT/FAMILY/CHOKING/STRANGULAT ION,"106 ALBANY AVE ALAMO HEIGHTS, TX 78209"
16-00013(0),2016-01-04T04:16:00Z,"ESCORZA, V",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"300 BLK BUTTERCUP DR ALAMO HEIGHTS, TX 78209"
