incident_num,date,officer,desc_clean,offenses_clean,address_clean
21-00001(0),2021-01-01T12:20:00Z,"HOSEY, J P",PROPERTY FOUND / LOST / RECOVERED,PROPERTY FOUND / LOST / RECOVERED,"300 BLK OGDEN LN ALAMO HEIGHTS, TX 78209"
21-00002(0),2021-01-01T14:08:00Z,"HERNANDEZ, R",WELFARE CHECK,WELFARE CHECK,"5300 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
21-00003(0),2021-01-01T17:22:00Z,"HERNANDEZ, R",DISTURBANCE,DISTURBANCE,"135 ELIZABETH RD ALAMO HEIGHTS, TX 78209"
21-00004(0),2021-01-01T18:50:00Z,"PRUDEN, R",WELFARE CHECK,WELFARE CHECK,"103 W OAKVIEW PL 1 ALAMO HEIGHTS, TX 78209"
21-00005(0),2021-01-01T21:18:00Z,"HERNANDEZ, R",SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,"135 TUXEDO AVE ALAMO HEIGHTS, TX 78209"
21-00006(0),2021-01-02T09:34:00Z,"GARZA, K S",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"6400 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
21-00007(0),2021-01-02T10:34:00Z,"ESQUIVEL, E M",COV - AUTHORIZED HOURS OF CONSTRUCTION,COV - AUTHORIZED HOURS OF CONSTRUCTION,"202 INSLEE AVE ALAMO HEIGHTS, TX 78209"
21-00008(0),2021-01-02T18:06:00Z,"ORR, S",COV- DISTURBING CONTENTS OF CONTAINERS,COV- DISTURBING CONTENTS OF CONTAINERS,"100 BLK CLOVERLEAF AVE ALAMO HEIGHTS, TX 78209"
21-00009(0),2021-01-03T14:33:00Z,"ORR, S",BURGLARY OF A VEHICLE,BURGLARY OF A VEHICLE,"246 VIESCA ALAMO HEIGHTS, TX 78209"
21-00010(0),2021-01-03T15:39:00Z,"HERNANDEZ, R",SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,"11 ST LUKES LN ALAMO HEIGHTS, TX 78209"
21-00011(0),2021-01-03T22:25:00Z,"GARZA, L R",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION  WARRANT ARREST - LOCAL,"506 AUSTIN HWY ALAMO HEIGHTS, TX 78209"
21-00012(0),2021-01-04T04:01:00Z,"GARZA, K S",UNAUTHORIZED USE MOTOR VEHICLE,POSSESSION OR DELIVERY OF DRUG PARAPHERNALIA UNAUTHORIZED USE MOTOR VEHICLE,"1000 BLK ALAMO HEIGHTS BLVD ALAMO HEIGHTS, TX 78209"
21-00013(0),2021-01-04T07:20:00Z,"PRUDEN, R",MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,"121 MARCIA PL ALAMO HEIGHTS, TX 78209"
21-00014(0),2021-01-04T09:14:00Z,"PRUDEN, R",THEFT PROP (SHOPLIFTING) <$100,THEFT PROP (SHOPLIFTING) <$100,"4600 BROADWAY ALAMO HEIGHTS, TX 78209"
21-00015(0),2021-01-04T09:55:00Z,"GORE, E E",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"171 BARILLA PL ALAMO HEIGHTS, TX 78209"
21-00016(0),2021-01-04T12:33:00Z,"PRUDEN, R",FRAUDULENT USE/POSS OF IDENTIFYING INFO,FRAUDULENT USE/POSS OF IDENTIFYING INFO,"640 TUXEDO AVE ALAMO HEIGHTS, TX 78209"
21-00017(0),2021-01-04T18:13:00Z,"ESQUIVEL, E M",ASSIST OTHER AGENCY,ASSIST OTHER AGENCY,"200 W. OLMOS SAN ANTONIO, TX 78212"
21-00018(0),2021-01-04T18:59:00Z,"HERNANDEZ, R",THEFT PROP (SHOPLIFTING) <$100,THEFT PROP (SHOPLIFTING) <$100,"506 AUSTIN HWY ALAMO HEIGHTS, TX 78209"
21-00019(0),2021-01-04T22:30:00Z,"GARZA, K S",SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,"401 W CASTANO AVE ALAMO HEIGHTS, TX 78209"
21-00020(0),2021-01-04T23:01:00Z,"ESCORZA, V",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"120 REDWOOD ST ALAMO HEIGHTS, TX 78209"
21-00021(0),2021-01-05T02:32:00Z,"ESCORZA, V",WELFARE CHECK,WELFARE CHECK,"111 BLUE BONNET BLVD ALAMO HEIGHTS, TX 78209"
21-00022(0),2021-01-05T09:34:00Z,"MCMANIS, B S",POSS CS PG 2 >= 1G DRUG FREE ZONE,POSS CS PG 2 >= 1G DRUG FREE ZONE,"6900 BROADWAY ALAMO HEIGHTS, TX 78209"
21-00023(0),2021-01-05T14:04:00Z,"ORR, S",FRAUDULENT USE/POSS OF IDENTIFYING INFO,FRAUDULENT USE/POSS OF IDENTIFYING INFO FAILURE TO IDENTIFY / FUGITIVE FROM JUSTICE,"4821 BROADWAY ALAMO HEIGHTS, TX 78209"
21-00024(0),2021-01-05T15:42:00Z,"ORR, S",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"5108 BROADWAY ALAMO HEIGHTS, TX 78209"
21-00025(0),2021-01-05T15:35:00Z,"LARA, A","WRONG, FICTITIOUS, ALTERED, OBSCURED LICENSE PLATE","WRONG, FICTITIOUS, ALTERED, OBSCURED LICENSE PLATE","200 BLK VIESCA ALAMO HEIGHTS, TX 78209"
21-00026(0),2021-01-05T20:35:00Z,"ORR, S",DISTURBANCE,DISTURBANCE,"506 AUSTIN HWY ALAMO HEIGHTS, TX 78209"
21-00027(0),2021-01-05T21:47:00Z,"ESCORZA, V",ASSIST OTHER AGENCY,ASSIST OTHER AGENCY,"4302 MCCULLOUGH AVE OLMOS PARK, TX 78212"
21-00028(0),2021-01-05T22:15:00Z,"HOSEY, J P",DISTURBANCE,DISTURBANCE,"422 ALAMO HEIGHTS BLVD ALAMO HEIGHTS, TX 78209"
21-00029(0),2021-01-06T02:19:00Z,"ESCORZA, V",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"200 BLK E EDGEWOOD PL ALAMO HEIGHTS, TX 78209"
21-00030(0),2021-01-06T03:16:00Z,"ESCORZA, V",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"400 BLK IMLAY ST ALAMO HEIGHTS, TX 78209"
21-00031(0),2021-01-06T10:04:00Z,"PRUDEN, R",SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,"506 AUSTIN HWY ALAMO HEIGHTS, TX 78209"
21-00032(0),2021-01-06T11:18:00Z,"PRUDEN, R",WELFARE CHECK,WELFARE CHECK,"101 ALBANY AVE ALAMO HEIGHTS, TX 78209"
21-00033(0),2021-01-06T12:02:00Z,"TORRES, J M",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"6700 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
21-00034(0),2021-01-06T12:07:00Z,"PRUDEN, R",SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,"6900 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
21-00035(0),2021-01-06T12:33:00Z,"PRUDEN, R",WELFARE CHECK,WELFARE CHECK,"5900 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
21-00036(0),2021-01-06T14:10:00Z,"GORE, E E",THEFT PROP (SHOPLIFTING) <$100,THEFT PROP (SHOPLIFTING) <$100,"506 AUSTIN HWY ALAMO HEIGHTS, TX 78209"
