incident_num,date,officer,desc_clean,offenses_clean,address_clean
14-00001(0),2014-01-01T02:26:00Z,"CARNEY, M I",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"5200 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
14-00002(0),2014-01-01T02:47:00Z,"NUGENT, J A",ASSAULT THREAT OR OFFENSIVE TOUCH:FAMILY MEMBER,PUBLIC INTOXICATION,"5701 N NEW BRAUNFELS AVE ALAMO HEIGHTS, TX 78209"
14-00003(0),2014-01-01T20:42:00Z,"ORR, S",SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,"100 BLK BARILLA PL ALAMO HEIGHTS, TX 78209"
14-00004(0),2014-01-02T02:14:00Z,"NUGENT, J A",PUBLIC INTOXICATION,PUBLIC INTOXICATION,"101 ARCADIA PL 105 ALAMO HEIGHTS, TX 78209"
14-00005(0),2014-01-02T10:25:00Z,"HOSEY, J P",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"506 AUSTIN HWY ALAMO HEIGHTS, TX 78209"
14-00006(0),2014-01-02T16:43:00Z,"OTTMERS, A",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"915 CAMBRIDGE OVAL ALAMO HEIGHTS, TX 78209"
14-00007(0),2014-01-02T22:47:00Z,"NUGENT, J A",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"6900 BROADWAY ALAMO HEIGHTS, TX 78209"
14-00009(0),2014-01-03T15:50:00Z,"TORRES, C R",OPEN DOOR / WINDOW,OPEN DOOR / WINDOW,"231 BRONSON AVE ALAMO HEIGHTS, TX 78209"
14-00010(0),2014-01-03T17:38:00Z,"TORRES, C R",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"307 ENCINO AVE ALAMO HEIGHTS, TX 78209"
14-00011(0),2014-01-03T18:04:00Z,"OTTMERS, A",OPEN DOOR / WINDOW,OPEN DOOR / WINDOW,"526 W CASTANO AVE ALAMO HEIGHTS, TX 78209"
14-00012(0),2014-01-03T23:36:00Z,"DELEON, M L",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"6000 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
14-00013(0),2014-01-04T00:46:00Z,"CARNEY, M I",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"5900 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
14-00014(0),2014-01-04T01:14:00Z,"LOPEZ, C D",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"5200 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
14-00008(0),2014-01-04T06:15:00Z,"HOSEY, J P",DISORDERLY CONDUCT-EXPOSE ANUS OR GENITALS,DISORDERLY CONDUCT-EXPOSE ANUS OR GENITALS,"506 AUSTIN HWY ALAMO HEIGHTS, TX 78209"
14-00016(0),2014-01-04T12:01:00Z,"MOSMAN, J D",OPEN DOOR / WINDOW,OPEN DOOR / WINDOW,"104 CLOVERLEAF AVE ALAMO HEIGHTS, TX 78209"
14-00017(0),2014-01-04T13:47:00Z,"KEY, L H",PROPERTY FOUND / LOST / RECOVERED,PROPERTY FOUND / LOST / RECOVERED,"200 BLK E BASSE SAN ANTONIO, TX 78209"
14-00018(0),2014-01-04T17:39:00Z,"ORR, S",PUBLIC INTOXICATION,PUBLIC INTOXICATION,"506 AUSTIN HWY ALAMO HEIGHTS, TX 78209"
14-00019(0),2014-01-04T18:42:00Z,"ORR, S",SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,"6116 BROADWAY ALAMO HEIGHTS, TX 78209"
14-00029(0),2014-01-04T19:36:00Z,"TORRES, C R",PROPERTY FOUND / LOST / RECOVERED,PROPERTY FOUND / LOST / RECOVERED,"5100 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
14-00020(0),2014-01-04T20:03:00Z,"KEY, L H",THEFT < $1500  2 OR MORE PREV CONVIC,THEFT < $1500  2 OR MORE PREV CONVIC,"4821 BROADWAY ALAMO HEIGHTS, TX 78209"
14-00021(0),2014-01-04T21:15:00Z,"ORR, S",CRIMINAL MISCHIEF - SUBSTANTIAL INCONVENIENCE,CRIMINAL MISCHIEF - SUBSTANTIAL INCONVENIENCE,"100 BLK E OAKVIEW PL ALAMO HEIGHTS, TX 78209"
14-00022(0),2014-01-04T23:27:00Z,"DELEON, M L",PROPERTY FOUND / LOST / RECOVERED,PROPERTY FOUND / LOST / RECOVERED,"246 VIESCA ALAMO HEIGHTS, TX 78209"
14-00023(0),2014-01-04T23:42:00Z,"CARNEY, M I",POSSESSION OF OPEN CONTAINER IN MOTOR VEHICLE,POSSESSION OF OPEN CONTAINER IN MOTOR VEHICLE,"5900 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
