incident_num,date,officer,desc_clean,offenses_clean,address_clean
12-00001(0),2012-01-01T00:33:00Z,"ORR, S",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"7200 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
12-00003(0),2012-01-01T00:53:00Z,"KEY, L H",INVESTIGATION / INFORMATION,INVESTIGATION / INFORMATION,"184 E OAKVIEW PL ALAMO HEIGHTS, TX 78209"
12-00002(0),2012-01-01T00:58:00Z,"CERDA, E J",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"100 BLK CIRCLE ST ALAMO HEIGHTS, TX 78209"
12-00004(0),2012-01-01T01:05:00Z,"ACOSTA, R A",RUNAWAY,RUNAWAY,"200 BLK ROUTT ST ALAMO HEIGHTS, TX 78209"
12-00005(0),2012-01-01T01:45:00Z,"CERDA, E J",POSSESSION OR DELIVERY OF DRUG PARAPHERNALIA,POSSESSION OR DELIVERY OF DRUG PARAPHERNALIA,"5400 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
12-00006(0),2012-01-01T04:09:00Z,"ORR, S",SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,"100 BLK ARCADIA PL ALAMO HEIGHTS, TX 78209"
12-00007(0),2012-01-02T01:18:00Z,"ACOSTA, R A",WARRANT ARREST - OUT OF JURISDICTION,WARRANT ARREST - OUT OF JURISDICTION,"100 BLK TUXEDO AVE ALAMO HEIGHTS, TX 78209"
12-00008(0),2012-01-02T08:22:00Z,"DEROSA, R E",CRIMINAL MISCHIEF >=$50<$500,CRIMINAL MISCHIEF >=$50<$500,"251 ENCINO AVE ALAMO HEIGHTS, TX 78209"
12-00009(0),2012-01-02T10:42:00Z,"GORE, E E","ALARM, ROBBERY","ALARM, ROBBERY  ","4800 BROADWAY ALAMO HEIGHTS, TX 78209"
12-00010(0),2012-01-02T10:49:00Z,"TORRES, C R",OPEN DOOR / WINDOW,OPEN DOOR / WINDOW,"518 AUSTIN HWY ALAMO HEIGHTS, TX 78209"
12-00011(0),2012-01-02T10:49:00Z,"TORRES, C R","ALARM, BURGLARY","ALARM, BURGLARY  ","518 AUSTIN HWY ALAMO HEIGHTS, TX 78209"
12-00012(0),2012-01-02T11:40:00Z,"GORE, E E",SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,"100 BLK W FAIR OAKS PL ALAMO HEIGHTS, TX 78209"
12-00013(0),2012-01-02T14:15:00Z,"FONSECA, D E",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"5900 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
12-00014(0),2012-01-02T15:02:00Z,"CALLENDER, C J","COV - SOLICITING ON PRIVATE PROPERTY, UNINVITED","COV - SOLICITING ON PRIVATE PROPERTY, UNINVITED","211 WILDROSE AVE ALAMO HEIGHTS, TX 78209"
12-00015(0),2012-01-02T21:07:00Z,"MCGREGOR, J K","ALARM, BURGLARY","ALARM, BURGLARY  ","521 ALTA AVE ALAMO HEIGHTS, TX 78209"
12-00016(0),2012-01-02T22:50:00Z,"CERDA, E J",WARRANT ARREST - OUT OF JURISDICTION,WARRANT ARREST - OUT OF JURISDICTION,"5900 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
12-00017(0),2012-01-02T23:33:00Z,"ORR, S",SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,SUSPICIOUS PERSON / VEHICLE / CIRCUMSTANCES,"6800 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
12-00018(0),2012-01-03T08:13:00Z,"FONSECA, D E",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"5700 BLK BROADWAY ALAMO HEIGHTS, TX 78209"
12-00019(0),2012-01-03T09:07:00Z,"GORE, E E",IMPOUNDED VEHICLE,IMPOUNDED VEHICLE,"200 BLK AUSTIN HWY ALAMO HEIGHTS, TX 78209"
12-00020(0),2012-01-03T09:11:00Z,"BARLOW, T J",BURGLARY OF A VEHICLE,BURGLARY OF A VEHICLE,"725 PATTERSON AVE ALAMO HEIGHTS, TX 78209"
12-00021(0),2012-01-03T10:15:00Z,"GORE, E E",POSSESSION OR DELIVERY OF DRUG PARAPHERNALIA,POSSESSION OR DELIVERY OF DRUG PARAPHERNALIA,"6900 BROADWAY ALAMO HEIGHTS, TX 78209"
12-00022(0),2012-01-03T12:50:00Z,"FITCHETT, E","COV - SOLICITING ON PRIVATE PROPERTY, UNINVITED","COV - SOLICITING ON PRIVATE PROPERTY, UNINVITED","214 REDWOOD ST ALAMO HEIGHTS, TX 78209"
